geonameid,name,asciiname,alternatenames,latitude,longitude,featureclass,featurecode,cc,cc2,admin1,admin2,admin3,admin4,population,dem,timezone,moddate
4046404,Miguel,Miguel,,28.92358,-98.82058,P,PPL,US,,TX,163,,,0,160,165,America/Chicago,2006-01-15
4046405,Bean Mountain,Bean Mountain,,34.43898,-86.73611,T,MT,US,,AL,103,,,0,297,292,America/Chicago,2006-01-15
4046406,Mill Branch Water Wheel (historical),Mill Branch Water Wheel (historical),,31.51823,-95.44439,S,BLDG,US,,TX,225,,,0,112,125,America/Chicago,2006-01-15
4046407,Bean River,Bean River,,33.85483,-87.44029,H,STM,US,,AL,127,,,0,102,116,America/Chicago,2010-02-14
4046408,Miller Dam,Miller Dam,,28.46527,-98.8503,S,DAM,US,,TX,283,,,0,95,97,America/Chicago,2006-01-15
4046409,Bean Rock,Bean Rock,,34.47287,-86.46915,S,,US,,AL,095,,,0,179,186,America/Chicago,2010-02-14
4046410,Minjou Lake Dam,Minjou Lake Dam,,31.09684,-97.93863,S,DAM,US,,TX,281,,,0,341,343,America/Chicago,2006-01-15
4046411,Bean Rock Bluff,Bean Rock Bluff,,34.47092,-86.46749,T,CLF,US,,AL,095,,,0,204,194,America/Chicago,2006-01-15
4046412,Mission Valley Guest Ranch,Mission Valley Guest Ranch,,29.72495,-98.19223,S,,US,,TX,091,,,0,262,265,America/Chicago,2010-02-18
4046413,Bean Rock Creek,Bean Rock Creek,,34.47037,-86.46665,H,STM,US,,AL,095,,,0,171,184,America/Chicago,2006-01-15
4046414,Mooredale,Mooredale,,29.3108,-95.82828,P,PPL,US,,TX,157,,,0,21,24,America/Chicago,2006-01-15
4046415,Beamon,Beamon,,31.51906,-85.58605,P,PPL,US,,AL,045,,,0,96,97,America/Chicago,2006-01-15
4046416,Morrow Dam,Morrow Dam,,29.17525,-97.22027,S,DAM,US,,TX,123,,,0,81,90,America/Chicago,2006-01-15
4046417,Bean Rock Landing (historical),Bean Rock Landing (historical),,34.47231,-86.46554,S,,US,,AL,095,,,0,169,167,America/Chicago,2010-02-14
4046418,Mount Zion Number 2 Church,Mount Zion Number 2 Church,"Mount Zion Church,Mount Zion Missionary Baptist Church,Mount Zion Number 2 Church",33.52872,-96.96695,S,CH,US,,TX,097,,,0,219,225,America/Chicago,2006-01-15
4046419,Bean Rock School,Bean Rock School,,34.45148,-86.46443,S,SCH,US,,AL,095,,,0,183,192,America/Chicago,2006-01-15
4046420,Mud Lake,Mud Lake,,29.85535,-94.721,H,LK,US,,TX,071,,,0,1,1,America/Chicago,2011-12-11
4046421,Bean Stack Creek,Bean Stack Creek,,32.80763,-87.99557,H,STM,US,,AL,063,,,0,37,44,America/Chicago,2006-01-15
4046422,Mugg Cemetery,Mugg Cemetery,,33.35761,-96.6561,S,CMTY,US,,TX,085,,,0,203,207,America/Chicago,2006-01-15
4046423,Bean Rock Ferry (historical),Bean Rock Ferry (historical),,34.47315,-86.46582,R,RDJCT,US,,AL,095,,,0,169,167,America/Chicago,2010-02-14
4046424,Mustang Field (historical),Mustang Field (historical),,32.50347,-96.90028,S,AIRQ,US,,TX,181,,,0,218,219,America/Chicago,2016-12-07
4046425,Beans Mill,Beans Mill,"Beans Mill,Floyds Mill",32.69708,-85.26744,P,PPL,US,,AL,081,,,0,186,190,America/Chicago,2010-02-14
4046426,Myrtle Springs Cemetery,Myrtle Springs Cemetery,,31.49796,-93.9163,S,CMTY,US,,TX,403,,,0,157,163,America/Chicago,2006-01-15
4046427,Bear Bay,Bear Bay,,31.09921,-86.6399,H,LK,US,,AL,039,,,0,66,78,America/Chicago,2016-01-22
4046428,Nacogdoches High School,Nacogdoches High School,,31.64351,-94.61965,S,SCH,US,,TX,347,,,0,139,143,America/Chicago,2006-01-15
4046429,Bear Branch,Bear Branch,,30.57908,-87.50304,H,STM,US,,AL,003,,,0,5,17,America/Chicago,2010-02-14
4046430,Natalia,Natalia,"Natalia,Natalija,nataly  tgzas,natalya,natalya  tkzas,Наталиа,Наталия,Наталија,Наталія,ناتاليا,ناتالی، تگزاس,ناتالیا، تکزاس",29.18968,-98.86253,P,PPL,US,,TX,325,,,1490,209,211,America/Chicago,2017-03-09
4046431,Beans Crossroads,Beans Crossroads,,31.99932,-85.85356,P,PPL,US,,AL,011,,,0,143,144,America/Chicago,2006-01-15
4046432,New Bethel Cemetery,New Bethel Cemetery,,30.37382,-96.97776,S,CMTY,US,,TX,287,,,0,115,116,America/Chicago,2006-01-15
4046433,Bear Branch,Bear Branch,,33.12679,-87.04083,H,STM,US,,AL,007,,,0,83,87,America/Chicago,2006-01-15
4046434,New Falcon,New Falcon,"N'ju-Falkon,New Falcon,Nju Falkon,nyw falkn,nyw falkn  tgzas,nyw falkn  tkzas,Њу Фалкон,Нью-Фалкон,نيو فالكن,نیو فالکن، تکزاس,نیو فالکن، تگزاس",26.63866,-99.09559,P,PPL,US,,TX,505,,,191,127,130,America/Chicago,2011-05-14
4046435,Bear Branch,Bear Branch,,32.74318,-86.57137,H,STM,US,,AL,021,,,0,157,160,America/Chicago,2010-02-14
4046436,Nolan Lake,Nolan Lake,"Nolan Lake,Soil Conservation Service Site 3 Reservoir",31.12884,-97.56925,H,RSV,US,,TX,027,,,0,218,217,America/Chicago,2013-03-08
4046437,Bear Branch,Bear Branch,,31.62516,-86.02634,H,STM,US,,AL,031,,,0,79,95,America/Chicago,2006-01-15
4046438,North Chapel,North Chapel,,33.05484,-94.96966,S,CH,US,,TX,063,,,0,104,111,America/Chicago,2007-02-14
4046439,Bear Branch,Bear Branch,,31.26878,-85.95827,H,STM,US,,AL,031,,,0,60,71,America/Chicago,2010-02-14
4046440,Northrup,Northrup,,30.1005,-96.97026,P,PPL,US,,TX,287,,,0,147,149,America/Chicago,2006-01-15
4046441,Bear Branch,Bear Branch,,31.32822,-86.35634,H,STM,US,,AL,039,,,0,73,80,America/Chicago,2010-02-14
4046442,Norwood Lake Dam,Norwood Lake Dam,,31.4435,-98.37032,S,DAM,US,,TX,333,,,0,404,407,America/Chicago,2006-01-15
4046443,Bear Branch,Bear Branch,,34.16399,-86.69,H,STM,US,,AL,043,,,0,186,195,America/Chicago,2010-02-14
4046444,Oakwood Baptist Church,Oakwood Baptist Church,,29.72828,-98.13279,S,CH,US,,TX,091,,,0,221,222,America/Chicago,2006-01-15
4046445,Bear Branch,Bear Branch,,34.34371,-88.14365,H,STM,US,,AL,059,,,0,144,150,America/Chicago,2006-01-15
4046446,Old Mill Dam,Old Mill Dam,,31.79516,-97.5753,S,DAM,US,,TX,035,,,0,189,198,America/Chicago,2006-01-15
4046447,Bear Branch,Bear Branch,,34.37399,-88.00226,H,STM,US,,AL,059,,,0,185,199,America/Chicago,2010-02-14
4046448,Olney Municipal Airport,Olney Municipal Airport,"KONY,ONY,Olney Municipal Airport",33.35149,-98.81731,S,AIRP,US,,TX,503,,,0,385,386,America/Chicago,2013-05-11
4046449,Bear Branch,Bear Branch,"Bear Branch,Collinsworth Mill Creek",31.17712,-86.10994,H,STM,US,,AL,061,,,0,32,47,America/Chicago,2006-01-15
4046450,Owen Flat,Owen Flat,,30.53547,-97.89779,T,PLN,US,,TX,453,,,0,255,256,America/Chicago,2006-01-15
4046451,Bear Branch,Bear Branch,,33.49122,-87.09305,H,STM,US,,AL,073,,,0,97,117,America/Chicago,2006-01-15
4046452,Padgett Cemetery,Padgett Cemetery,,33.30733,-98.94812,S,CMTY,US,,TX,503,,,0,369,372,America/Chicago,2006-01-15
4046453,Bear Branch,Bear Branch,,34.55787,-87.35613,H,STM,US,,AL,079,,,0,173,198,America/Chicago,2010-02-14
4046454,Palagana Well,Palagana Well,,26.57978,-98.79753,H,WLL,US,,TX,427,,,0,98,101,America/Chicago,2010-02-18
4046455,Bear Branch,Bear Branch,,33.99594,-87.15306,H,STM,US,,AL,133,,,0,155,160,America/Chicago,2006-01-15
4046456,Palomas Pasture,Palomas Pasture,,26.80755,-98.16695,T,PLN,US,,TX,047,,,0,31,33,America/Chicago,2006-01-15
4046457,Bear Branch,Bear Branch,,34.10871,-87.21807,H,STM,US,,AL,133,,,0,155,168,America/Chicago,2006-01-15
4046458,Parvin,Parvin,,33.25345,-96.87028,P,PPL,US,,TX,121,,,0,172,177,America/Chicago,2006-01-15
4046459,Bear Creek,Bear Creek,,32.36819,-86.58831,H,STM,US,,AL,001,,,0,38,41,America/Chicago,2006-01-15
4046460,Peach Hill Plant Dam,Peach Hill Plant Dam,,33.25511,-97.77031,S,DAM,US,,TX,497,,,0,266,274,America/Chicago,2006-01-15
4046461,Bear Creek,Bear Creek,,31.10657,-87.89611,H,INLT,US,,AL,003,,,0,1,8,America/Chicago,2006-01-15
4046462,Pin Oak Point,Pin Oak Point,,31.08407,-95.663,T,CAPE,US,,TX,225,,,0,40,51,America/Chicago,2006-01-15
4046463,Bear Creek,Bear Creek,,32.01905,-85.29771,H,STM,US,,AL,005,,,0,63,77,America/Chicago,2010-02-14
4046464,Pinedale Dam,Pinedale Dam,,32.48848,-95.23023,S,DAM,US,,TX,423,,,0,132,142,America/Chicago,2006-01-15
4046465,Bear Creek,Bear Creek,,31.14045,-87.89639,H,INLT,US,,AL,003,,,0,2,8,America/Chicago,2006-01-15
4046466,Pond Mountain,Pond Mountain,,30.47464,-98.53114,T,MT,US,,TX,031,,,0,437,438,America/Chicago,2010-10-12
4046467,Bear Creek,Bear Creek,,32.80013,-86.79137,H,STM,US,,AL,021,,,0,110,121,America/Chicago,2006-01-15
4046468,Post Oak Cemetery,Post Oak Cemetery,,31.65433,-97.66836,S,CMTY,US,,TX,099,,,0,295,304,America/Chicago,2006-01-15
4046469,Bear Creek,Bear Creek,,31.99765,-88.32613,H,STM,US,,AL,023,,,0,49,61,America/Chicago,2010-02-14
4046470,Prairie View Cemetery,Prairie View Cemetery,,31.78128,-94.17103,S,CMTY,US,,TX,419,,,0,107,111,America/Chicago,2006-01-15
4046471,Bear Creek,Bear Creek,"Bar Creek,Bear Creek,Bear River,Bears Creek,Big Bear Creek,Boar River,Oakchappo River,Oakochappa River,Oakshappo Creek,Occachippo River,Ockochappo Creek,Ockochappo River,Ocochappo Creek",34.89175,-88.09754,H,STM,US,,AL,033,,,0,125,126,America/Chicago,2010-02-14
4046472,Primrose,Primrose,,32.61152,-97.43335,P,PPL,US,,TX,439,,,0,236,241,America/Chicago,2006-01-15
4046473,Bear Creek,Bear Creek,,31.26184,-87.01858,H,STM,US,,AL,035,,,0,39,48,America/Chicago,2006-01-15
4046474,Rankin,Rankin,,32.2057,-96.70666,P,PPL,US,,TX,139,,,718,144,147,America/Chicago,2006-01-17
4046475,Bear Creek,Bear Creek,"Bear Creek,Cheatham,Little Bear Creek",34.65648,-87.73336,P,PPL,US,,AL,033,,,0,159,159,America/Chicago,2006-01-15
4046476,Rebecca Colonia,Rebecca Colonia,"Rebecca Colonia,Rebecca Subdivision Colonia",26.20424,-97.93333,P,PPL,US,,TX,215,,,0,18,20,America/Chicago,2006-01-15
4046477,Bear Creek,Bear Creek,,31.09601,-86.44801,H,STM,US,,AL,039,,,0,39,49,America/Chicago,2006-01-15
4046478,Red Bud,Red Bud,,30.29798,-97.80834,R,TRL,US,,TX,453,,,0,272,273,America/Chicago,2006-01-15
4046479,Bear Creek,Bear Creek,,31.46183,-86.39496,H,STM,US,,AL,041,,,0,60,66,America/Chicago,2006-01-15
4046480,Renfro Dam,Renfro Dam,,31.38044,-98.7706,S,DAM,US,,TX,411,,,0,360,370,America/Chicago,2010-10-12
4046481,Bear Creek,Bear Creek,,31.77516,-86.22052,H,STM,US,,AL,041,,,0,91,96,America/Chicago,2006-01-15
4046483,Bear Creek,Bear Creek,,31.43489,-85.70327,H,STM,US,,AL,045,,,0,67,79,America/Chicago,2006-01-15
4046484,Road Runner Colonia Number 2,Road Runner Colonia Number 2,"Road Runner Colonia Number 2,Road Runner Subdivision Number 2 Colonia",26.16035,-98.10223,P,PPL,US,,TX,215,,,0,29,33,America/Chicago,2006-01-15
4046485,Bear Creek,Bear Creek,,31.56183,-85.48216,H,STM,US,,AL,045,,,0,76,87,America/Chicago,2006-01-15
4046486,Robert Browning School,Robert Browning School,,29.79689,-95.37855,S,SCH,US,,TX,201,,,0,16,18,America/Chicago,2006-01-15
4046487,Bear Creek,Bear Creek,,31.25323,-85.54493,H,STM,US,,AL,045,,,0,54,67,America/Chicago,2006-01-15
4046488,Rockport Cemetery,Rockport Cemetery,,28.04613,-97.03749,S,CMTY,US,,TX,007,,,0,3,8,America/Chicago,2006-01-15
4046489,Bear Creek,Bear Creek,,32.28597,-87.29555,H,STM,US,,AL,047,,,0,27,37,America/Chicago,2006-01-15
4046490,Rocky Branch Church,Rocky Branch Church,,31.74044,-96.3947,S,CH,US,,TX,161,,,0,127,132,America/Chicago,2006-01-15
4046491,Bear Creek,Bear Creek,,34.35176,-85.67302,H,STM,US,,AL,049,,,0,243,275,America/Chicago,2006-01-15
4046492,Rodgers Dam,Rodgers Dam,,32.28347,-98.647,S,DAM,US,,TX,133,,,0,413,420,America/Chicago,2006-01-15
4046493,Bear Creek,Bear Creek,"Bear Creek,Blackwater Creek",31.02879,-86.70968,H,STM,US,,AL,053,,,0,39,47,America/Chicago,2006-01-15
4046494,Rogers Park,Rogers Park,,31.16018,-97.48529,L,PRK,US,,TX,027,,,0,187,188,America/Chicago,2006-01-15
4046495,Bear Creek,Bear Creek,"Bar Creek,Bear Creek",33.51761,-87.77668,H,STM,US,,AL,057,,,0,79,86,America/Chicago,2010-02-14
4046496,Rose Lake Dam,Rose Lake Dam,"Rose Lake Dam,Salt Lake Dam",29.64523,-97.64528,S,DAM,US,,TX,187,,,0,114,117,America/Chicago,2006-01-15
4046497,Bear Creek,Bear Creek,,34.94231,-86.22554,H,STM,US,,AL,071,,,0,208,207,America/Chicago,2006-01-15
4046498,Rough Ridge,Rough Ridge,,30.5463,-98.52392,T,RDGE,US,,TX,299,,,0,342,333,America/Chicago,2006-01-15
4046499,Bear Creek,Bear Creek,"Bear Creek,Bearcreek",34.27482,-87.70058,P,PPL,US,,AL,093,,,1047,246,248,America/Chicago,2017-03-09
4046500,Saint Pauls Catholic Church,Saint Pauls Catholic Church,,30.00522,-97.15388,S,CH,US,,TX,021,,,0,98,105,America/Chicago,2006-01-15
4046501,Bear Creek,Bear Creek,,31.6346,-87.37388,H,STM,US,,AL,099,,,0,21,31,America/Chicago,2006-01-15
4046502,Salado Park,Salado Park,,32.97151,-96.77639,L,PRK,US,,TX,113,,,0,204,205,America/Chicago,2006-01-15
4046503,Bear Creek,Bear Creek,,30.77074,-88.03444,H,INLT,US,,AL,097,,,0,0,3,America/Chicago,2006-01-15
4046504,San Manuel,San Manuel,,26.56451,-98.12112,P,PPL,US,,TX,215,,,0,23,26,America/Chicago,2010-02-18
4046505,Bear Creek,Bear Creek,,31.44572,-87.5261,H,STM,US,,AL,099,,,0,20,39,America/Chicago,2006-01-15
4046506,Sandy Cemetery,Sandy Cemetery,,30.34464,-98.47086,S,CMTY,US,,TX,031,,,0,395,401,America/Chicago,2010-10-12
4046507,Bear Creek,Bear Creek,"Bair Creek,Bear Creek",33.18596,-88.07975,H,STM,US,,AL,107,,,0,49,57,America/Chicago,2006-01-15
4046508,Santa Rosa Lake,Santa Rosa Lake,,33.94092,-99.2598,H,RSV,US,,TX,487,,,0,354,360,America/Chicago,2006-01-15
4046509,Bear Creek,Bear Creek,,31.72238,-85.76078,H,STM,US,,AL,109,,,0,96,101,America/Chicago,2006-01-15
4046510,Sauceda Colonia,Sauceda Colonia,"Sauceda Colonia,Sauceda Subdivision Colonia",26.35646,-98.14834,P,PPL,US,,TX,215,,,0,27,29,America/Chicago,2006-01-15
4046511,Bear Creek,Bear Creek,,33.38373,-85.45329,H,STM,US,,AL,111,,,0,244,250,America/Chicago,2006-01-15
4046512,Sharon Lake,Sharon Lake,"Lake Sharon,Sharon Lake",33.1393,-97.09329,H,RSV,US,,TX,121,,,0,173,179,America/Chicago,2011-12-11
4046513,Bear Creek,Bear Creek,,33.48372,-86.43387,H,STM,US,,AL,117,,,0,135,138,America/Chicago,2006-01-15
4046514,Shelby,Shelby,,30.02161,-96.59831,P,PPL,US,,TX,015,,,0,138,142,America/Chicago,2006-01-15
4046515,Bear Creek,Bear Creek,,32.5143,-88.23892,H,STM,US,,AL,119,,,0,36,41,America/Chicago,2010-02-14
4046516,Shipley Cemetery,Shipley Cemetery,,32.70319,-96.4436,S,CMTY,US,,TX,257,,,0,140,143,America/Chicago,2006-01-15
4046517,Bear Creek,Bear Creek,,33.52456,-87.5764,H,STM,US,,AL,125,,,0,78,88,America/Chicago,2006-01-15
4046518,The Shut-In,The Shut-In,,29.49801,-99.71033,T,MT,US,,TX,463,,,0,412,419,America/Chicago,2007-02-14
4046519,Bear Creek,Bear Creek,,33.46095,-87.43584,H,STM,US,,AL,125,,,0,104,112,America/Chicago,2010-02-14
4046520,Sims Dam,Sims Dam,,31.52682,-99.98036,S,DAM,US,,TX,095,,,0,504,501,America/Chicago,2006-01-15
4046521,Bear Creek,Bear Creek,,33.0554,-87.4425,H,STM,US,,AL,125,,,0,53,60,America/Chicago,2006-01-15
4046522,Slater,Slater,,31.3435,-97.96975,P,PPL,US,,TX,099,,,0,314,314,America/Chicago,2006-01-15
4046523,Bear Creek,Bear Creek,,31.22767,-88.17167,H,STM,US,,AL,129,,,0,21,31,America/Chicago,2011-01-10
4046524,Slumber Falls,Slumber Falls,,29.7555,-98.1389,H,OVF,US,,TX,091,,,0,194,203,America/Chicago,2006-01-15
4046525,Bear Creek,Bear Creek,,31.96154,-87.65222,H,STM,US,,AL,131,,,0,45,56,America/Chicago,2006-01-15
4046526,Soil Conservation Service Site 1 Dam,Soil Conservation Service Site 1 Dam,,32.96512,-97.88698,S,DAM,US,,TX,367,,,0,372,376,America/Chicago,2006-01-15
4046527,Bear Creek,Bear Creek,,31.98154,-87.01776,H,STM,US,,AL,131,,,0,46,56,America/Chicago,2006-01-15
4046528,Soil Conservation Service Site 3 Dam,Soil Conservation Service Site 3 Dam,,31.4135,-99.00033,S,DAM,US,,TX,411,,,0,431,429,America/Chicago,2006-01-15
4046529,Bear Creek,Bear Creek,"Bear Creek,Haydens Creek,Little Bear Creek",31.87432,-87.52889,H,STM,US,,AL,131,,,0,11,17,America/Chicago,2006-01-15
4046530,Soil Conservation Service Site 89 Dam,Soil Conservation Service Site 89 Dam,,32.71513,-96.19359,S,DAM,US,,TX,257,,,0,149,152,America/Chicago,2006-01-15
4046531,Bear Creek Cemetery,Bear Creek Cemetery,"Bear Creek Cemetery,Bear Creek City Cemetery",34.28343,-87.69808,S,CMTY,US,,AL,093,,,0,252,255,America/Chicago,2010-02-14
4046532,Sojourner Oil Field,Sojourner Oil Field,,33.17871,-99.78037,L,OILF,US,,TX,207,,,0,496,496,America/Chicago,2006-01-15
4046533,Bear Creek Church,Bear Creek Church,"Bear Creek Church,Chigger Hill Church",34.3326,-87.85475,S,CH,US,,AL,059,,,0,263,264,America/Chicago,2006-01-15
4046534,South Dam,South Dam,,30.11354,-99.18532,S,DAM,US,,TX,265,,,0,575,586,America/Chicago,2006-01-15
4046535,Bear Creek Church,Bear Creek Church,,31.87821,-87.09637,S,CH,US,,AL,131,,,0,102,110,America/Chicago,2006-01-15
4046536,South Lake,South Lake,,30.11472,-99.184,H,RSV,US,,TX,265,,,0,576,576,America/Chicago,2011-12-12
4046537,Bear Creek Number One Baptist Church,Bear Creek Number One Baptist Church,"Bear Creek Church,Bear Creek Church Number 1,Bear Creek Number One Baptist Church",34.29065,-87.69614,S,CH,US,,AL,093,,,0,252,256,America/Chicago,2010-02-14
4046538,South Toledo Bend,South Toledo Bend,Toledo Village,31.15324,-93.60462,P,PPL,US,,TX,351,,,524,55,58,America/Chicago,2011-05-15
4046539,Bear Creek Church of Christ,Bear Creek Church of Christ,,34.27676,-87.70031,S,CH,US,,AL,093,,,0,244,248,America/Chicago,2010-02-14
4046540,Southside Primary School,Southside Primary School,"South Side School,Southside Primary School",30.33755,-95.0889,S,SCH,US,,TX,291,,,0,48,52,America/Chicago,2011-01-10
4046541,Bear Creek Dam,Bear Creek Dam,,34.39843,-87.98781,S,DAM,US,,AL,059,,,0,169,184,America/Chicago,2010-02-14
4046542,Sowers,Sowers,,32.82846,-96.99334,P,PPL,US,,TX,113,,,0,162,165,America/Chicago,2006-01-15
4046543,Bear Creek Dock,Bear Creek Dock,,34.76787,-88.09754,S,,US,,AL,033,,,0,127,130,America/Chicago,2010-02-14
4046544,Sparger Park,Sparger Park,,32.87291,-97.15029,L,PRK,US,,TX,439,,,0,176,181,America/Chicago,2006-01-15
4046545,Bear Creek Hunting Club,Bear Creek Hunting Club,,31.93237,-87.69167,S,,US,,AL,025,,,0,65,69,America/Chicago,2010-02-14
4046546,Spencer Lake,Spencer Lake,,32.93124,-95.08522,H,LK,US,,TX,063,,,0,105,111,America/Chicago,2006-01-15
4046547,Bear Creek Number One Cemetery,Bear Creek Number One Cemetery,,34.2901,-87.69558,S,CMTY,US,,AL,093,,,0,253,255,America/Chicago,2010-02-14
4046548,Spivey Crossing,Spivey Crossing,,31.78849,-97.32446,P,PPL,US,,TX,217,,,0,137,143,America/Chicago,2006-01-15
4046549,Bear Creek Post Office,Bear Creek Post Office,"Bear Creek Post Office,Bearcreek Post Office",34.27593,-87.70364,S,PO,US,,AL,093,,,0,255,258,America/Chicago,2010-02-14
4046550,Steedham,Steedham,,33.69733,-96.77944,P,PPL,US,,TX,181,,,0,211,214,America/Chicago,2006-01-15
4046551,Bear Creek Reservoir,Bear Creek Reservoir,,34.38843,-87.94293,H,RSV,US,,AL,059,,,0,170,185,America/Chicago,2011-12-11
4046552,Stufflbeme Lake,Stufflbeme Lake,,32.14844,-97.71273,H,RSV,US,,TX,035,,,0,248,249,America/Chicago,2013-03-08
4046553,Bear Creek School (historical),Bear Creek School (historical),,34.65592,-87.73448,S,SCH,US,,AL,033,,,0,160,159,America/Chicago,2006-01-15
4046554,Sulphur,Sulphur,"Sulphur,Sulphur Station",33.31291,-94.05574,P,PPL,US,,TX,037,,,0,72,75,America/Chicago,2006-01-15
4046555,Bear Creek Swamp,Bear Creek Swamp,,32.43125,-86.5747,H,SWMP,US,,AL,001,,,0,46,57,America/Chicago,2006-01-15
4046556,Sun Valley Park,Sun Valley Park,,32.69735,-96.82139,L,PRK,US,,TX,113,,,0,162,171,America/Chicago,2006-01-15
4046557,Bear Creek United Methodist Church,Bear Creek United Methodist Church,,34.27538,-87.70281,S,CH,US,,AL,093,,,0,255,251,America/Chicago,2010-02-14
4046558,Surf Oaks,Surf Oaks,,29.58912,-94.99632,P,PPL,US,,TX,201,,,0,3,7,America/Chicago,2010-09-05
4046559,Bear Creek United Methodist Church,Bear Creek United Methodist Church,"Bear Creek Church,Bear Creek United Methodist Church",33.37289,-85.40356,S,CH,US,,AL,111,,,0,327,325,America/Chicago,2010-02-14
4046560,Tanyard Branch Dam,Tanyard Branch Dam,,32.43182,-94.68021,S,DAM,US,,TX,203,,,0,84,88,America/Chicago,2006-01-15
4046561,Bear Den Hollow,Bear Den Hollow,,34.64204,-87.87726,T,VAL,US,,AL,033,,,0,172,180,America/Chicago,2006-01-15
4046562,Tesco Park,Tesco Park,,32.81041,-97.15779,L,PRK,US,,TX,439,,,0,158,168,America/Chicago,2006-01-15
4046563,Bear Creek Missionary Baptist Church,Bear Creek Missionary Baptist Church,"Bear Creek Church,Bear Creek Missionary Baptist Church",34.6562,-87.7342,S,CH,US,,AL,033,,,0,161,159,America/Chicago,2007-02-14
4046564,Thatch Cemetery,Thatch Cemetery,,30.86658,-96.96693,S,CMTY,US,,TX,331,,,0,121,124,America/Chicago,2006-01-15
4046565,Bear Den Hollow,Bear Den Hollow,,34.97814,-86.05887,T,VAL,US,,AL,071,,,0,341,366,America/Chicago,2006-01-15
4046566,Thedford,Thedford,,32.48459,-95.39662,P,PPL,US,,TX,423,,,0,156,160,America/Chicago,2006-01-15
4046567,Bear Den Point,Bear Den Point,"Bear Den Point,Buffalo Point",34.9712,-86.06554,T,CAPE,US,,AL,071,,,0,532,536,America/Chicago,2006-01-15
4046568,Thomas Lake,Thomas Lake,,33.27243,-94.48355,H,LK,US,,TX,067,,,0,69,77,America/Chicago,2011-12-11
4046569,Bear Gap Branch,Bear Gap Branch,,33.66622,-87.26361,H,STM,US,,AL,127,,,0,79,97,America/Chicago,2010-02-14
4046570,Tietze Park,Tietze Park,,32.82318,-96.76056,L,PRK,US,,TX,113,,,0,171,178,America/Chicago,2024-03-07
4046571,Bear Elementary School,Bear Elementary School,"Bear Elementary School,Bear School",32.33681,-86.27163,S,SCH,US,,AL,101,,,0,66,68,America/Chicago,2006-01-15
4046572,Timberhill Villa Number 4 Colonia,Timberhill Villa Number 4 Colonia,,26.29035,-98.2214,P,PPL,US,,TX,215,,,0,32,34,America/Chicago,2006-01-15
4046573,Bear Head Creek,Bear Head Creek,,31.09684,-86.7219,H,STM,US,,AL,053,,,0,52,65,America/Chicago,2006-01-15
4046574,Val Verde North Colonia,Val Verde North Colonia,"Val Verde North Colonia,Val Verde North Subdivision Colonia",26.20146,-98.0864,P,PPL,US,,TX,215,,,0,28,32,America/Chicago,2006-01-15
4046575,Bear Hollow,Bear Hollow,,34.91592,-86.02915,T,VAL,US,,AL,071,,,0,205,217,America/Chicago,2006-01-15
4046577,Bear Hollow,Bear Hollow,,34.30982,-86.90473,T,VAL,US,,AL,103,,,0,186,191,America/Chicago,2006-01-15
4046578,Vaughn Cemetery,Vaughn Cemetery,,31.95517,-94.89327,S,CMTY,US,,TX,401,,,0,111,115,America/Chicago,2006-01-15
4046579,Bear Lake,Bear Lake,,32.05512,-85.98216,H,RSV,US,,AL,011,,,0,150,157,America/Chicago,2011-12-11
4046580,Vera,Vera,"Vera,vera,wra  tgzas,wra  tkzas,ورا، تکزاس,ورا، تگزاس,വെറ",33.63343,-99.5662,P,PPL,US,,TX,275,,,0,445,447,America/Chicago,2006-01-15
4046581,Bear Mountain,Bear Mountain,,33.76816,-86.5261,T,MT,US,,AL,115,,,0,400,408,America/Chicago,2010-02-14
4046582,Walker Springs,Walker Springs,,29.57523,-98.5253,H,SPNG,US,,TX,029,,,0,285,288,America/Chicago,2006-01-15
4046583,Bear Mountain Branch,Bear Mountain Branch,,33.77566,-86.56165,H,STM,US,,AL,115,,,0,248,267,America/Chicago,2010-02-14
4046584,Walnut Grove,Walnut Grove,,29.86827,-98.73475,P,PPL,US,,TX,259,,,0,438,446,America/Chicago,2006-01-15
4046585,Bear Lake,Bear Lake,,31.30274,-87.94155,H,LK,US,,AL,025,,,0,2,10,America/Chicago,2011-12-11
4046586,Warner Junction,Warner Junction,,33.80149,-96.53583,P,PPL,US,,TX,181,,,0,171,174,America/Chicago,2006-01-15
4046587,Bear Pen Branch,Bear Pen Branch,,33.97871,-87.09139,H,STM,US,,AL,043,,,0,153,160,America/Chicago,2010-02-14
4046588,Warsaw Center,Warsaw Center,,32.55458,-96.41554,P,PPL,US,,TX,257,,,0,120,126,America/Chicago,2006-01-15
4046589,Bear Pen Mountain,Bear Pen Mountain,,33.82761,-87.37223,T,MT,US,,AL,127,,,0,168,169,America/Chicago,2010-02-14
4046590,Wedgewood Park,Wedgewood Park,,32.66486,-97.38224,L,PRK,US,,TX,439,,,0,230,238,America/Chicago,2006-01-15
4046591,Bear Point Marina,Bear Point Marina,,30.30992,-87.52637,S,MAR,US,,AL,003,,,0,1,2,America/Chicago,2010-02-14
4046592,Wesley Grove,Wesley Grove,,30.68575,-95.78912,P,PPL,US,,TX,471,,,0,107,110,America/Chicago,2006-01-15
4046593,Bear Pond Dam,Bear Pond Dam,,32.05515,-85.98162,S,DAM,US,,AL,011,,,0,150,161,America/Chicago,2006-01-15
