geonameid,name,asciiname,alternatenames,latitude,longitude,featureclass,featurecode,cc,cc2,admin1,admin2,admin3,admin4,population,dem,timezone,moddate
4046265,Bay Minette Area Vocational School,Bay Minette Area Vocational School,,30.86213,-87.78333,S,SCH,US,,AL,003,,,0,82,84,America/Chicago,2006-01-15
4046266,Duncan Lake Dam,Duncan Lake Dam,,32.39515,-94.84355,S,DAM,US,,TX,183,,,0,91,102,America/Chicago,2006-01-15
4046267,North Baldwin Infirmary,North Baldwin Infirmary,"Bay Minette Infirmary,North Baldwin Infirmary",30.90346,-87.78481,S,HSP,US,,AL,003,,,0,82,86,America/Chicago,2011-12-11
4046268,Dyckman Park,Dyckman Park,,32.82874,-96.7925,L,PRK,US,,TX,113,,,0,162,170,America/Chicago,2006-01-15
4046269,Bay Minette Middle School,Bay Minette Middle School,,30.86269,-87.78471,S,SCH,US,,AL,003,,,0,81,85,America/Chicago,2006-01-15
4046270,East Fresnos Colonia,East Fresnos Colonia,,26.13424,-97.47026,P,PPL,US,,TX,061,,,0,4,8,America/Chicago,2006-01-15
4046271,Bay Minette Municipal Airport,Bay Minette Municipal Airport,"Aeroportul Municipal Bay Minette,Bay Minette Municipal Airport,Bej-Minett,aerodrome de Bay Minette Muni,aérodrome de Bay Minette Muni,frwdgah shhrstan by mynt,Бей-Минетт,Фурудгоҳи шаҳристон бе мен,فرودگاه شهرستان بی مینت",30.87157,-87.81987,S,AIRP,US,,AL,003,,,0,76,78,America/Chicago,2014-10-07
4046272,East Texas Medical Center,East Texas Medical Center,"East Texas Medical Center,East Texas Medical Center - Trinity",30.95668,-95.38116,S,HSP,US,,TX,455,,,0,77,82,America/Chicago,2013-03-08
4046273,Bay Minette Plaza Shopping Center,Bay Minette Plaza Shopping Center,,30.87991,-87.78333,S,MALL,US,,AL,003,,,0,82,87,America/Chicago,2006-01-15
4046274,Edna,Edna,"Edna,Ednaville,Macaroni Station,adna,adna  tgzas,Една,إدنا,ادنا، تگزاس",28.97859,-96.64609,P,PPLA2,US,,TX,239,,,5792,20,24,America/Chicago,2017-03-09
4046275,Bay Minette Post Office,Bay Minette Post Office,,30.8788,-87.77388,S,PO,US,,AL,003,,,0,81,82,America/Chicago,2006-01-15
4046276,El Monte Colonia,El Monte Colonia,"El Monte Colonia,El Monte Subdivision Colonia",26.33035,-97.98639,P,PPL,US,,TX,215,,,0,21,24,America/Chicago,2010-02-20
4046277,Bay Minette Public Library,Bay Minette Public Library,,30.88214,-87.77666,S,LIBR,US,,AL,003,,,0,82,86,America/Chicago,2017-03-14
4046278,Elm Cemetery,Elm Cemetery,,32.19569,-98.7195,S,CMTY,US,,TX,133,,,0,412,415,America/Chicago,2006-01-15
4046279,Bay Minette Seventh Day Adventist Church,Bay Minette Seventh Day Adventist Church,,30.88435,-87.78249,S,CH,US,,AL,003,,,0,82,88,America/Chicago,2006-01-15
4046280,Elm Lake Dam,Elm Lake Dam,,31.50684,-96.99027,S,DAM,US,,TX,309,,,0,133,138,America/Chicago,2006-01-15
4046281,Bay Spring,Bay Spring,,33.06456,-86.56943,H,SPNG,US,,AL,117,,,0,133,149,America/Chicago,2006-01-15
4046282,Elm Ridge,Elm Ridge,,29.35025,-95.97079,T,RDGE,US,,TX,481,,,0,26,35,America/Chicago,2006-01-15
4046283,Bay Spring Church,Bay Spring Church,"Bay Spring Church,Bay Springs Church",32.79846,-87.51084,S,CH,US,,AL,065,,,0,93,98,America/Chicago,2006-01-15
4046284,Esmeralda Well,Esmeralda Well,,26.97727,-98.35862,H,WLL,US,,TX,047,,,0,73,80,America/Chicago,2006-01-15
4046285,Bay Spring Church,Bay Spring Church,"Bay Spring Church,Bay Springs Church",33.05873,-86.56915,S,CH,US,,AL,117,,,0,135,140,America/Chicago,2006-01-15
4046286,Evans,Evans,,32.94125,-94.25269,P,PPL,US,,TX,067,,,0,88,97,America/Chicago,2006-01-15
4046287,Bay Springs,Bay Springs,,34.17593,-85.71552,P,PPL,US,,AL,019,,,0,174,174,America/Chicago,2006-01-15
4046288,Evans Lake,Evans Lake,,28.88997,-99.78422,H,LK,US,,TX,507,,,0,190,198,America/Chicago,2006-01-15
4046289,Bay Springs Cemetery,Bay Springs Cemetery,,31.21295,-85.52271,S,CMTY,US,,AL,069,,,0,82,87,America/Chicago,2006-01-15
4046290,Fidelity Church of Christ,Fidelity Church of Christ,,29.73412,-95.25577,S,CH,US,,TX,201,,,0,9,13,America/Chicago,2007-02-14
4046291,Bay Springs Baptist Church,Bay Springs Baptist Church,"Bay Spring Church,Bay Springs Baptist Church,Bay Springs Church",31.21295,-85.52216,S,CH,US,,AL,069,,,0,84,87,America/Chicago,2007-02-14
4046292,First Baptist Church,First Baptist Church,,33.07734,-97.56614,S,CH,US,,TX,497,,,0,226,229,America/Chicago,2006-01-15
4046293,Bay Springs Marina,Bay Springs Marina,,34.17593,-85.71941,S,MAR,US,,AL,019,,,0,177,177,America/Chicago,2010-02-14
4046294,Fischer,Fischer,"Fischer,Fischer Store,Fischer's Store",29.97688,-98.26585,P,PPL,US,,TX,091,,,0,350,357,America/Chicago,2006-01-15
4046295,Bay View,Bay View,"Bay View,Bayview",33.55872,-86.97361,P,PPL,US,,AL,073,,,0,165,166,America/Chicago,2006-01-15
4046296,Fishermans Paradise,Fishermans Paradise,,32.18237,-97.48391,S,,US,,TX,251,,,0,228,234,America/Chicago,2010-02-18
4046297,Bay View Estates,Bay View Estates,,34.22648,-85.70552,P,PPLX,US,,AL,019,,,0,180,181,America/Chicago,2007-02-14
4046298,Franks Oil Field,Franks Oil Field,,29.37162,-95.05215,L,OILF,US,,TX,167,,,0,4,10,America/Chicago,2006-01-15
4046299,Bay Wash Landing (historical),Bay Wash Landing (historical),,32.03682,-88.11252,S,,US,,AL,091,,,0,16,22,America/Chicago,2010-02-14
4046300,Friendship School,Friendship School,,32.29015,-97.34668,S,SCH,US,,TX,251,,,0,239,242,America/Chicago,2006-01-15
4046301,Biler School (historical),Biler School (historical),"Bayler School,Biler School (historical),Byler School",34.19316,-87.52391,S,SCH,US,,AL,133,,,0,256,253,America/Chicago,2011-12-11
4046302,Gap Mountain,Gap Mountain,,33.45483,-98.42144,T,MT,US,,TX,009,,,0,334,335,America/Chicago,2006-01-15
4046303,Bayless Cemetery,Bayless Cemetery,,34.91675,-86.73194,S,CMTY,US,,AL,089,,,0,257,258,America/Chicago,2006-01-15
4046305,Bayless Cemetery,Bayless Cemetery,,34.84648,-86.56805,S,CMTY,US,,AL,089,,,0,233,231,America/Chicago,2006-01-15
4046306,George Braun House,George Braun House,,33.75927,-96.53721,S,BLDG,US,,TX,181,,,0,228,233,America/Chicago,2006-01-15
4046307,Bayleys Corner,Bayleys Corner,,30.46492,-88.11444,P,PPL,US,,AL,097,,,0,7,13,America/Chicago,2006-01-15
4046308,Golub Lake Dam,Golub Lake Dam,,30.06522,-97.02193,S,DAM,US,,TX,287,,,0,115,119,America/Chicago,2006-01-15
4046309,Baylor (historical),Baylor (historical),,33.28817,-87.04388,S,,US,,AL,073,,,0,163,171,America/Chicago,2010-02-14
4046310,Gordon Gap,Gordon Gap,,33.74372,-97.52752,T,GAP,US,,TX,337,,,0,368,376,America/Chicago,2006-01-15
4046311,Baylor Lake,Baylor Lake,,33.29184,-87.03368,H,RSV,US,,AL,073,,,0,172,184,America/Chicago,2011-12-11
4046312,Grange Hill Cemetery,Grange Hill Cemetery,,32.60486,-96.52666,S,CMTY,US,,TX,113,,,0,123,128,America/Chicago,2006-01-15
4046313,Baylor Lake Dam,Baylor Lake Dam,,33.29178,-87.03499,S,DAM,US,,AL,073,,,0,171,184,America/Chicago,2006-01-15
4046314,Gravier Slough,Gravier Slough,,32.7632,-94.13796,H,INLT,US,,TX,315,,,0,51,56,America/Chicago,2006-01-15
4046315,Bayou Heron Channel,Bayou Heron Channel,,30.26243,-88.13972,H,CHN,US,,AL,097,,,0,0,0,America/Chicago,2006-01-15
4046317,Bayou Jonas Gas Field,Bayou Jonas Gas Field,,30.39187,-88.16222,L,OILF,US,,AL,097,,,0,5,9,America/Chicago,2006-01-15
4046318,Green Creek Dam Number 6,Green Creek Dam Number 6,,32.11736,-98.34504,S,DAM,US,,TX,143,,,0,443,443,America/Chicago,2006-01-15
4046319,Bayou La Batre,Bayou La Batre,"Baju la Batr,Baju-La-Batr,Bayou La Batre,Bayou Labatra,Bayou Labatre,Bayou le Batre,bai you la ba te li,bayw la batr,beyau la batre,Баю-Ла-Батр,Бају ла Батр,بايو لا باتر,بایو لا باتر,बेयौ ला बात्रे,拜尤拉巴特里",30.40352,-88.24852,P,PPL,US,,AL,097,,,2621,2,5,America/Chicago,2017-03-09
4046320,Greenes Lake Dam,Greenes Lake Dam,,32.80846,-95.74857,S,DAM,US,,TX,379,,,0,120,135,America/Chicago,2006-01-15
4046321,Bayou La Batre Church,Bayou La Batre Church,,30.44325,-88.25945,S,CH,US,,AL,097,,,0,20,24,America/Chicago,2006-01-15
4046322,Gus Fruh Park,Gus Fruh Park,,30.24493,-97.79306,L,PRK,US,,TX,453,,,0,168,175,America/Chicago,2006-01-15
4046323,Bayou La Fourche Bay,Bayou La Fourche Bay,,30.3902,-88.37195,H,BAY,US,,AL,097,,,0,4,0,America/Chicago,2006-01-15
